    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/07/17,16:57:41
MCA Data File,detectorA_Ra226 re.asc
Comment,
Date,2020/07/17,15:43:17
Live Time,4157,Real Time,4463,Preset time,99999999,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
1820,    3191
1821,    3227
1822,    3295
1823,    3135
1824,    3228
1825,    3263
1826,    3269
1827,    3216
1828,    3295
1829,    3167
1830,    3259
1831,    3246
1832,    3297
1833,    3384
1834,    3269
1835,    3146
1836,    3173
1837,    3273
1838,    3200
1839,    3101
1840,    3244
1841,    3232
1842,    3253
1843,    3193
1844,    3270
1845,    3219
1846,    3251
1847,    3225
1848,    3102
1849,    3073
1850,    3302
1851,    3277
1852,    3165
1853,    3176
1854,    3170
1855,    3167
1856,    3168
1857,    3286
1858,    3181
1859,    3136
1860,    3209
1861,    3141
1862,    3107
1863,    3162
1864,    3165
1865,    3092
1866,    3087
1867,    3130
